person_id,file_id,touches,recency_weight,first_seen,last_seen,sensitive_weight
dev@pressplay.local,.claude/settings.local.json,9,8.752846,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/app.dart,3,2.926941,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/app_settings.dart,3,2.955103,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/automation_state.dart,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/compression_algorithm.dart,2,1.976535,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/game_info.dart,2,1.976535,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/watcher_event.dart,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/automation/automation_queue_provider.dart,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/automation/automation_settings_sync.dart,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/automation/watcher_events_provider.dart,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/games/game_list_state.dart,2,1.976535,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/system/auto_compression_status_provider.dart,2,1.978231,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/services/platform_shell_service.dart,2,1.978231,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/services/rust_bridge_mappers.dart,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/services/rust_bridge_service.dart,5,4.910718,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,3.00
dev@pressplay.local,rust/src/api/automation.rs,4,3.932610,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation/mod.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation/worker.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation_types.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/mod.rs,3,2.925244,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/types.rs,4,3.932610,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/automation/idle.rs,3,2.921349,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,2.10
dev@pressplay.local,rust/src/automation/journal.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/automation/mod.rs,2,1.948372,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,1.40
dev@pressplay.local,rust/src/automation/scheduler/mod.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/automation/scheduler/tests.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/automation/scheduler/types.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/automation/watcher.rs,2,1.948372,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,1.40
dev@pressplay.local,rust/src/automation/watcher/coalescer.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/automation/watcher/mod.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/automation/watcher/tests.rs,1,0.999663,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.70
dev@pressplay.local,rust/src/frb_generated.rs,5,4.910718,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,test/phase6_ui_test.dart,3,2.959640,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,test/support/phase6_test_doubles.dart,2,1.978231,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,test/support/rust_bridge_test_doubles.dart,3,2.959640,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,test/widget_test.dart,8,7.804229,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/features/games/presentation/game_details_screen.dart,3,2.941386,2026-02-16T23:57:10-05:00,2026-02-17T18:01:07-05:00,0.00
dev@pressplay.local,lib/core/theme/app_typography.dart,5,4.847889,2026-02-08T22:49:19-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/features/games/presentation/widgets/compression_progress_indicator.dart,5,4.847140,2026-02-12T13:15:25-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/features/games/presentation/widgets/game_card.dart,6,5.825708,2026-02-12T13:15:25-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/features/games/presentation/widgets/game_grid_placeholders.dart,2,1.958915,2026-02-16T17:11:04-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/features/games/presentation/widgets/home_header.dart,4,3.914356,2026-02-16T13:08:21-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/features/games/presentation/widgets/inventory_components.dart,2,1.959977,2026-02-16T23:57:10-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/features/settings/presentation/settings_screen.dart,2,1.959977,2026-02-16T23:57:10-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/providers/games/game_list_provider.dart,3,2.935787,2026-02-16T13:08:21-05:00,2026-02-17T18:01:00-05:00,0.00
dev@pressplay.local,lib/providers/games/manual_game_import.dart,1,0.981409,2026-02-17T18:01:00-05:00,2026-02-17T18:01:00-05:00,0.00
