person_id,file_id,touches,recency_weight,first_seen,last_seen,sensitive_weight
dev@pressplay.local,.claude/settings.local.json,9,8.752944,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/app.dart,3,2.926974,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/app_settings.dart,3,2.955137,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/automation_state.dart,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/compression_algorithm.dart,2,1.976557,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/game_info.dart,2,1.976557,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/models/watcher_event.dart,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/automation/automation_queue_provider.dart,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/automation/automation_settings_sync.dart,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/automation/watcher_events_provider.dart,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/games/game_list_state.dart,2,1.976557,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/providers/system/auto_compression_status_provider.dart,2,1.978254,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/services/platform_shell_service.dart,2,1.978254,2026-02-16T23:57:10-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/services/rust_bridge_mappers.dart,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,lib/services/rust_bridge_service.dart,5,4.910774,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation.rs,4,3.932654,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation/mod.rs,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation/worker.rs,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/automation_types.rs,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/mod.rs,3,2.925277,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/api/types.rs,4,3.932654,2026-02-16T13:08:21-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/automation/idle.rs,3,2.921382,2026-02-08T22:49:19-05:00,2026-02-22T12:52:28-05:00,0.00
dev@pressplay.local,rust/src/automation/journal.rs,1,0.999674,2026-02-22T12:52:28-05:00,2026-02-22T12:52:28-05:00,0.00
